==1449== Lackey, an example Valgrind tool
==1449== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1449== Using Valgrind-3.15.0 and LibVEX; rerun with -h for copyright info
==1449== Command: ./benchmarks/native/memory_walk
==1449== Parent PID: 554
 L 0402ea60,8
I  04001f5d,3
I  04001f60,2
I  04001f62,7
 L 0402ea70,8
I  04001f69,5
 L 0402df40,8
I  04001f6e,6
I  04001f74,7
 L 0402eb60,8
I  04001f7b,3
I  04001f7e,2
I  04001f8e,7
 L 0402eb18,8
I  04001f95,3
I  04001f98,2
I  04001fa8,8
 L 0402eb10,8
I  04001fb0,6
I  04001fb6,8
 L 0402eaa0,8
I  04001fbe,6
I  04001fc4,3
I  04001fc7,6
I  040020b0,3
I  040020b3,6
I  040020b9,4
 L 0402df20,8
I  040020bd,7
 L 0402ea68,8
I  040020c4,7
 L 0402eb70,8
I  040020cb,4
 L 0402df30,8
I  040020cf,3
I  040020d2,3
I  040020d5,4
I  040020d9,3
I  040020dc,2
I  040020de,4
 L 0402df80,8
I  040020e2,4
I  040020e6,4
I  040020ea,3
I  040020ed,2
I  040020ef,7
 L 0402ea38,8
I  040020f6,7
 L 0402eae0,8
I  040020fd,3
I  04002100,4
 L 0402def0,8
I  04002104,4
 L 0402df10,8
I  04002108,3
I  0400210b,3
I  0400210e,3
I  04002111,4
I  04002115,7
 L 0402ea58,8
I  0400211c,4
 L 0402deb0,8
I  04002120,3
I  04002123,2
I  04002125,3
I  04002128,3
 L 04000b00,8
I  0400212b,3
I  0400212e,4
 L 04000b08,4
I  04002132,6
I  04002138,4
 L 04000b10,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d7f0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000b18,8
I  0400212b,3
I  0400212e,4
 L 04000b20,4
I  04002132,6
I  04002138,4
 L 04000b28,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d7f8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000b30,8
I  0400212b,3
I  0400212e,4
 L 04000b38,4
I  04002132,6
I  04002138,4
 L 04000b40,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d800,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000b48,8
I  0400212b,3
I  0400212e,4
 L 04000b50,4
I  04002132,6
I  04002138,4
 L 04000b58,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d808,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000b60,8
I  0400212b,3
I  0400212e,4
 L 04000b68,4
I  04002132,6
I  04002138,4
 L 04000b70,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d810,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000b78,8
I  0400212b,3
I  0400212e,4
 L 04000b80,4
I  04002132,6
I  04002138,4
 L 04000b88,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d818,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000b90,8
I  0400212b,3
I  0400212e,4
 L 04000b98,4
I  04002132,6
I  04002138,4
 L 04000ba0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d820,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000ba8,8
I  0400212b,3
I  0400212e,4
 L 04000bb0,4
I  04002132,6
I  04002138,4
 L 04000bb8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d8a0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000bc0,8
I  0400212b,3
I  0400212e,4
 L 04000bc8,4
I  04002132,6
I  04002138,4
 L 04000bd0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d8d8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000bd8,8
I  0400212b,3
I  0400212e,4
 L 04000be0,4
I  04002132,6
I  04002138,4
 L 04000be8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d908,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000bf0,8
I  0400212b,3
I  0400212e,4
 L 04000bf8,4
I  04002132,6
I  04002138,4
 L 04000c00,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d910,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c08,8
I  0400212b,3
I  0400212e,4
 L 04000c10,4
I  04002132,6
I  04002138,4
 L 04000c18,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d940,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c20,8
I  0400212b,3
I  0400212e,4
 L 04000c28,4
I  04002132,6
I  04002138,4
 L 04000c30,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d948,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c38,8
I  0400212b,3
I  0400212e,4
 L 04000c40,4
I  04002132,6
I  04002138,4
 L 04000c48,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d980,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c50,8
I  0400212b,3
I  0400212e,4
 L 04000c58,4
I  04002132,6
I  04002138,4
 L 04000c60,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d9b8,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c68,8
I  0400212b,3
I  0400212e,4
 L 04000c70,4
I  04002132,6
I  04002138,4
 L 04000c78,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402d9f0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c80,8
I  0400212b,3
I  0400212e,4
 L 04000c88,4
I  04002132,6
I  04002138,4
 L 04000c90,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402da28,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000c98,8
I  0400212b,3
I  0400212e,4
 L 04000ca0,4
I  04002132,6
I  04002138,4
 L 04000ca8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402da60,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000cb0,8
I  0400212b,3
I  0400212e,4
 L 04000cb8,4
I  04002132,6
I  04002138,4
 L 04000cc0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402da90,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000cc8,8
I  0400212b,3
I  0400212e,4
 L 04000cd0,4
I  04002132,6
I  04002138,4
 L 04000cd8,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402da98,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000ce0,8
I  0400212b,3
I  0400212e,4
 L 04000ce8,4
I  04002132,6
I  04002138,4
 L 04000cf0,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402dad0,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000cf8,8
I  0400212b,3
I  0400212e,4
 L 04000d00,4
I  04002132,6
I  04002138,4
 L 04000d08,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402db08,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000d10,8
I  0400212b,3
I  0400212e,4
 L 04000d18,4
I  04002132,6
I  04002138,4
 L 04000d20,8
I  0400213c,4
I  04002140,3
I  04002143,3
 S 0402db38,8
I  04002146,3
I  04002149,2
I  04002128,3
 L 04000d28,8
I  0400212b,3
I  0400212e,4
 L 04000d30,4
I  04002132,6
I  04002138,4
 L 04000d38,8
